energy,data,uncert
89.7,7.77,0.45
89.8,7.76,0.45
89.9,7.75,0.45
90,7.74,0.51
90.1,7.73,0.51
90.2,7.72,0.51
90.3,7.71,0.51
90.4,7.7,0.51
90.5,7.69,0.5
90.6,7.68,0.5
90.7,7.67,0.5
90.8,7.66,0.5
90.9,7.65,0.5
91,7.64,0.5
91.1,7.63,0.5
91.2,7.62,0.5
91.3,7.61,0.5
91.4,7.6,0.5
91.5,7.59,0.5
91.6,7.58,0.5
91.7,7.57,0.5
91.8,7.56,0.5
91.9,7.55,0.5
92,7.54,0.5
92.1,7.53,0.49
92.2,7.52,0.49
92.3,7.51,0.49
92.4,7.5,0.49
92.5,7.49,0.49
92.6,7.48,0.49
92.7,7.47,0.49
92.8,7.46,0.49
92.9,7.45,0.49
93,7.45,0.49
93.1,7.44,0.49
93.2,7.43,0.49
93.3,7.42,0.49
93.4,7.41,0.49
93.5,7.4,0.49
93.6,7.39,0.49
93.7,7.38,0.48
93.8,7.37,0.48
93.9,7.36,0.48
94,7.35,0.48
94.1,7.34,0.48
94.2,7.33,0.48
94.3,7.33,0.48
94.4,7.32,0.48
94.5,7.31,0.48
94.6,7.3,0.48
94.7,7.29,0.48
94.8,7.28,0.48
94.9,7.27,0.48
95,7.26,0.48
95.1,7.25,0.48
95.2,7.24,0.48
95.3,7.24,0.48
95.4,7.23,0.47
95.5,7.22,0.47
95.6,7.21,0.47
95.7,7.2,0.47
95.8,7.19,0.47
95.9,7.18,0.47
96,7.17,0.47
96.1,7.16,0.47
96.2,7.16,0.47
96.3,7.15,0.47
96.4,7.14,0.47
96.5,7.13,0.47
96.6,7.12,0.47
96.7,7.11,0.47
96.8,7.1,0.47
96.9,7.09,0.47
97,7.09,0.47
97.1,7.08,0.46
97.2,7.07,0.46
97.3,7.06,0.46
97.4,7.05,0.46
97.5,7.04,0.46
97.6,7.03,0.46
97.7,7.03,0.46
97.8,7.02,0.46
97.9,7.01,0.46
98,7,0.46
98.1,6.99,0.46
98.2,6.98,0.46
98.3,6.97,0.46
98.4,6.96,0.46
98.5,6.96,0.46
98.6,6.95,0.46
98.7,6.94,0.46
98.8,6.93,0.46
98.9,6.92,0.45
99,6.91,0.45
99.1,6.9,0.45
99.2,6.9,0.45
99.3,6.89,0.45
99.4,6.88,0.45
99.5,6.87,0.45
99.6,6.86,0.45
99.7,6.85,0.45
99.8,6.84,0.45
99.9,6.84,0.45
100,6.83,0.5
