energy,data,uncert
98.5,2.24,0.1
98.6,2.24,0.1
98.7,2.24,0.1
98.8,2.23,0.1
98.9,2.23,0.1
99,2.23,0.1
99.1,2.23,0.1
99.2,2.22,0.1
99.3,2.22,0.1
99.4,2.22,0.1
99.5,2.21,0.1
99.6,2.21,0.1
99.7,2.21,0.1
99.8,2.21,0.1
99.9,2.2,0.1
100,2.2,0.1
